symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate
10000000AIDOGEUSDT,2025-01-04 17:30:00+09:00,0.003138,0.003155,0.003115,0.003129,11239100.0,231545700.0,0.0001,-1.418,170.709,-8.913
1000000BABYDOGEUSDT,2025-01-04 17:30:00+09:00,0.0034652,0.0034836,0.0034387,0.0034481,74690400.0,2618263300.0,0.0001,-3.067,133.42,-1.665
1000000CHEEMSUSDT,2025-01-04 17:30:00+09:00,1.0704,1.0745,1.0657,1.0657,26380.0,4478960.0,0.0001,-1.269,101.38,-0.131
1000000MOGUSDT,2025-01-04 17:30:00+09:00,2.4896,2.51,2.4896,2.498,52396.0,7758933.0,0.0001,-0.873,-20.184,-0.534
1000000PEIPEIUSDT,2025-01-04 17:30:00+09:00,0.1051,0.1053,0.1039,0.1041,211726.0,25915778.0,0.0001,-1.327,-32.448,-0.06
10000COQUSDT,2025-01-04 17:30:00+09:00,0.0155,0.01554,0.01547,0.01549,396160.0,101762460.0,0.0001,-1.9,-41.667,0.382
10000LADYSUSDT,2025-01-04 17:30:00+09:00,0.000818,0.000821,0.000818,0.0008198,9126000.0,5839523200.0,0.0001,-0.787,-24.211,-0.012
10000QUBICUSDT,2025-01-04 17:30:00+09:00,0.03289,0.03395,0.03278,0.03363,893350.0,38089010.0,0.0001,2.157,158.669,2.616
10000SATSUSDT,2025-01-04 17:30:00+09:00,0.001929,0.001951,0.001929,0.001942,221718400.0,3539822500.0,0.0001,-1.721,-21.188,-1.018
10000WENUSDT,2025-01-04 17:30:00+09:00,0.9289,0.9308,0.9286,0.9289,6969.0,4788669.0,0.0001,-1.202,-57.221,-0.235
10000WHYUSDT,2025-01-04 17:30:00+09:00,0.001346,0.001358,0.001346,0.001355,10724800.0,1991918700.0,0.0001,0.0,-11.749,-0.766
1000APUUSDT,2025-01-04 17:30:00+09:00,0.734,0.7426,0.733,0.7383,75827.0,5804009.0,-8.8e-05,3.201,164.748,0.508
1000BONKUSDT,2025-01-04 17:30:00+09:00,0.035182,0.035336,0.035137,0.035174,16818200.0,9137198400.0,0.0001,-0.916,81.696,-0.132
1000BTTUSDT,2025-01-04 17:30:00+09:00,0.0011459,0.001147,0.0011452,0.0011452,2503800.0,2848274800.0,0.0001,-0.305,697.814,0.536
1000CATSUSDT,2025-01-04 17:30:00+09:00,0.02344,0.0235,0.02337,0.02345,144250.0,41307770.0,0.000413,-2.21,82.06,-1.432
1000CATUSDT,2025-01-04 17:30:00+09:00,0.03709,0.03719,0.03696,0.03696,1894243.0,271519786.0,0.000353,-1.937,-23.578,-0.095
1000FLOKIUSDT,2025-01-04 17:30:00+09:00,0.19885,0.19927,0.19835,0.19837,505320.0,214643279.0,0.0001,-0.894,107.388,0.245
1000LUNCUSDT,2025-01-04 17:30:00+09:00,0.11838,0.11861,0.11815,0.11815,55594.0,39572021.0,0.0001,-1.022,18.236,0.169
1000MUMUUSDT,2025-01-04 17:30:00+09:00,0.032501,0.032925,0.03247,0.03266,488390.0,85658490.0,0.00146,-0.494,27.339,0.185
1000NEIROCTOUSDT,2025-01-04 17:30:00+09:00,1.0994,1.1014,1.092,1.0921,227972.0,12765510.0,0.000239,-1.763,-17.819,-0.313
1000PEPEUSDT,2025-01-04 17:30:00+09:00,0.02101,0.021078,0.020973,0.020991,140943200.0,12587560300.0,0.0001,-1.275,247.071,-1.208
1000RATSUSDT,2025-01-04 17:30:00+09:00,0.07538,0.07621,0.07521,0.07566,7573090.0,163236630.0,0.0001,-2.638,-10.097,-1.384
1000TOSHIUSDT,2025-01-04 17:30:00+09:00,0.1557,0.1562,0.1548,0.1548,26275.0,7053751.0,0.0001,-1.652,-86.939,0.577
1000TURBOUSDT,2025-01-04 17:30:00+09:00,10.1611,10.1783,10.1124,10.1154,6328.0,799789.0,0.000247,-2.23,-22.961,1.874
1000XECUSDT,2025-01-04 17:30:00+09:00,0.03698,0.03712,0.03698,0.03712,226460.0,30853080.0,0.0001,-0.749,15.502,0.903
1000XUSDT,2025-01-04 17:30:00+09:00,0.16624,0.16698,0.16552,0.16567,287740.0,16902610.0,0.0001,-1.959,27.189,-0.893
1CATUSDT,2025-01-04 17:30:00+09:00,0.001589,0.001603,0.001589,0.001599,14348840.0,586443990.0,0.0001,0.314,82.348,1.203
1INCHUSDT,2025-01-04 17:30:00+09:00,0.421,0.4222,0.4206,0.4207,59972.5,22448559.89999999,0.0001,-1.012,48.073,0.325
A8USDT,2025-01-04 17:30:00+09:00,0.31969,0.32058,0.31824,0.31854,25516.0,5106558.0,0.0001,-0.908,160.458,1.377
AAVEUSDT,2025-01-04 17:30:00+09:00,341.3,342.41,340.34,340.52,1093.56,206661.88,0.0001,-1.121,48.12,0.021
ACEUSDT,2025-01-04 17:30:00+09:00,2.25,2.257,2.243,2.243,3688.4,683113.9,0.0001,-1.709,2.779,1.782
ACHUSDT,2025-01-04 17:30:00+09:00,0.027794,0.027822,0.027663,0.027671,961970.0,106540290.0,0.0001,-1.051,181.925,1.672
ACTUSDT,2025-01-04 17:30:00+09:00,0.3184,0.319,0.3171,0.3171,239481.0,25279931.0,0.0001,-1.338,112.689,0.699
ACXUSDT,2025-01-04 17:30:00+09:00,0.6219,0.6239,0.6208,0.6212,38104.0,3678374.0,0.0001,-0.417,-36.46,0.073
ADAUSDT,2025-01-04 17:30:00+09:00,1.0621,1.0678,1.062,1.0625,3262964.0,209440417.0,0.0001,-1.034,195.993,0.236
AERGOUSDT,2025-01-04 17:30:00+09:00,0.1345,0.1348,0.1343,0.1345,457688.0,26606330.0,0.0001,-0.884,82.118,-2.918
AEROUSDT,2025-01-04 17:30:00+09:00,1.5575,1.5603,1.5543,1.5543,41031.0,11396129.0,0.0001,-0.448,38.802,-0.025
AEVOUSDT,2025-01-04 17:30:00+09:00,0.4074,0.4086,0.4069,0.4069,63653.0,18695093.89999999,0.0001,-1.238,1.727,0.571
AGIUSDT,2025-01-04 17:30:00+09:00,0.15467,0.15511,0.15395,0.15398,633450.0,75014150.0,0.0001,-1.591,48.672,-1.93
AGLDUSDT,2025-01-04 17:30:00+09:00,2.765,2.7759,2.7525,2.7641,323278.4,8309919.3,0.0001,-0.893,-42.602,-0.925
AI16ZUSDT,2025-01-04 17:30:00+09:00,1.9964,1.9974,1.9762,1.9763,289091.0,15696218.0,5e-05,-1.402,-9.357,1.3
AIOZUSDT,2025-01-04 17:30:00+09:00,0.8679,0.8695,0.8666,0.8677,16683.0,7514296.0,0.0001,-0.505,80.562,0.141
AIUSDT,2025-01-04 17:30:00+09:00,0.7439,0.7459,0.7395,0.7407,161094.1,12527726.4,0.0001,-2.231,125.468,-0.467
AIXBTUSDT,2025-01-04 17:30:00+09:00,0.4846,0.4867,0.4796,0.4812,999080.0,51497160.0,0.0001,-1.635,37.322,2.179
AKTUSDT,2025-01-04 17:30:00+09:00,3.377,3.392,3.374,3.374,7608.7,1732665.2,0.0001,-0.706,-54.254,-0.842
ALEOUSDT,2025-01-04 17:30:00+09:00,0.9615,0.9662,0.9582,0.9595,22508.0,5507782.0,0.0001,-0.104,-35.368,-0.101
ALGOUSDT,2025-01-04 17:30:00+09:00,0.4107,0.412,0.4083,0.4085,2812544.9,93650873.3,0.0001,-1.209,208.658,0.866
ALICEUSDT,2025-01-04 17:30:00+09:00,1.256,1.259,1.253,1.253,14586.4,2743508.0,0.0001,-1.416,113.266,-1.235
ALPACAUSDT,2025-01-04 17:30:00+09:00,0.18458,0.18484,0.18401,0.1841,9079.0,4726143.0,0.0001,-1.107,-12.523,0.04
ALPHAUSDT,2025-01-04 17:30:00+09:00,0.08889,0.08922,0.08871,0.08874,442851.0,23248310.0,0.000332,-1.224,14.786,0.961
ALTUSDT,2025-01-04 17:30:00+09:00,0.1286,0.12911,0.12849,0.12849,112047.0,48399792.0,2.8e-05,-1.009,-7.825,0.244
AMBUSDT,2025-01-04 17:30:00+09:00,0.00819,0.008214,0.008153,0.00816,378960.0,140978490.0,0.00034,-1.497,36.083,-0.952
ANKRUSDT,2025-01-04 17:30:00+09:00,0.0389,0.03901,0.03884,0.03887,297892.0,141629478.0,0.0001,-0.943,18.993,0.331
APEUSDT,2025-01-04 17:30:00+09:00,1.3477,1.3518,1.346,1.3468,156841.4,17074199.1,0.0001,-1.261,145.249,0.587
API3USDT,2025-01-04 17:30:00+09:00,1.804,1.808,1.799,1.799,4708.0,1761496.6,7.3e-05,-1.262,35.155,0.732
APTUSDT,2025-01-04 17:30:00+09:00,9.7105,9.7385,9.6875,9.689,57305.77,8534517.14,0.0001,-1.334,93.2,0.576
ARBUSDT,2025-01-04 17:30:00+09:00,0.834,0.8368,0.832,0.832,602133.4,81613768.3,0.0001,-1.141,4.705,0.632
ARCUSDT,2025-01-04 17:30:00+09:00,0.35953,0.36267,0.35783,0.36011,286224.0,11051037.0,5e-05,-1.356,12.667,-0.882
ARKMUSDT,2025-01-04 17:30:00+09:00,1.6544,1.6596,1.6475,1.6475,22331.0,9856039.0,0.0001,-2.039,39.628,-0.789
ARKUSDT,2025-01-04 17:30:00+09:00,0.5549,0.5568,0.5541,0.5544,71116.0,2928732.0,0.0001,-1.053,-38.241,2.09
ARPAUSDT,2025-01-04 17:30:00+09:00,0.05364,0.05383,0.05364,0.05372,72550.0,22325050.0,0.0001,-0.684,-59.343,-0.348
ARUSDT,2025-01-04 17:30:00+09:00,18.943,18.992,18.9,18.9,2078.5,1413291.0,0.0001,-0.938,0.877,-0.135
ASTRUSDT,2025-01-04 17:30:00+09:00,0.065455,0.06563,0.06514,0.065145,469277.0,57399905.0,0.0001,-1.549,91.494,-0.853
ATAUSDT,2025-01-04 17:30:00+09:00,0.21186,0.21218,0.21024,0.21113,1283120.0,22983130.0,0.0001,0.5,60.14,5.306
ATHUSDT,2025-01-04 17:30:00+09:00,0.07118,0.07139,0.07102,0.07102,655990.0,264100500.0,1.4e-05,-0.824,71.795,0.111
ATOMUSDT,2025-01-04 17:30:00+09:00,7.295,7.326,7.292,7.292,22217.0,6702996.3,0.0001,-0.843,171.379,0.038
AUCTIONUSDT,2025-01-04 17:30:00+09:00,18.041,18.162,18.01,18.03,4163.4,384506.2,0.0005,-0.847,16.996,-3.078
AUDIOUSDT,2025-01-04 17:30:00+09:00,0.1668,0.1672,0.1664,0.1664,24329.4,19798206.6,0.0001,-1.422,-1.929,0.89
AVAILUSDT,2025-01-04 17:30:00+09:00,0.11955,0.11994,0.11955,0.11968,18343.0,16061707.0,0.0001,-0.499,-57.866,-0.12
