symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate,volume_spike_flag,small_price_move_flag
10000000AIDOGEUSDT,2025-01-19 23:30:00,0.002182,0.002185,0.002154,0.002173,2707300.0,175703200.0,0.00073,3.329,-87.543,0.19,False,False
1000000BABYDOGEUSDT,2025-01-19 23:30:00,0.0024713,0.0024713,0.0024338,0.0024491,68282600.0,2770548600.0,0.000246,1.165,-30.831,-0.526,False,False
1000000CHEEMSUSDT,2025-01-19 23:30:00,0.665,0.6655,0.6608,0.6642,15528.0,4016093.0,0.0001,0.927,-70.257,-0.023,False,False
1000000MOGUSDT,2025-01-19 23:30:00,1.7258,1.7331,1.6914,1.7014,230726.0,9135939.0,0.0004,6.584,-47.841,2.793,False,False
1000000PEIPEIUSDT,2025-01-19 23:30:00,0.06285,0.06285,0.06171,0.06221,248311.0,23446848.0,0.000463,-0.112,-58.343,-4.82,True,True
10000COQUSDT,2025-01-19 23:30:00,0.00905,0.00905,0.00896,0.00903,1645410.0,99388100.0,0.0001,1.461,-53.538,-1.231,False,False
10000LADYSUSDT,2025-01-19 23:30:00,0.0008079,0.000809,0.0007927,0.0008011,63790100.0,6639662800.0,0.000235,0.3,-70.587,-0.692,True,True
10000QUBICUSDT,2025-01-19 23:30:00,0.02485,0.02485,0.02443,0.02446,522750.0,35938420.0,0.0001,1.494,7.464,0.196,False,False
10000SATSUSDT,2025-01-19 23:30:00,0.001194,0.001195,0.001179,0.001187,61915000.0,3994152600.0,0.0001,0.85,-34.687,-0.106,False,False
10000WENUSDT,2025-01-19 23:30:00,1.0097,1.0117,1.0017,1.0117,29405.0,4810650.0,0.000373,-5.422,-88.42,-2.138,False,False
10000WHYUSDT,2025-01-19 23:30:00,0.000891,0.000891,0.000879,0.000881,8818000.0,2604114800.0,0.0001,3.525,-97.905,3.354,False,False
1000APUUSDT,2025-01-19 23:30:00,0.5012,0.5016,0.4934,0.4987,107739.0,5561130.0,0.0001,0.04,-83.572,-0.261,True,True
1000BONKUSDT,2025-01-19 23:30:00,0.033871,0.033888,0.033413,0.033652,26292900.0,8854387400.0,0.00021,-3.871,-83.082,0.08,False,False
1000BTTUSDT,2025-01-19 23:30:00,0.001107,0.0011071,0.0011026,0.0011061,7422200.0,2917925900.0,0.000706,1.514,-86.188,1.214,False,False
1000CATSUSDT,2025-01-19 23:30:00,0.01111,0.01111,0.011,0.01109,407710.0,37825980.0,0.0001,1.93,-47.016,-0.499,False,False
1000CATUSDT,2025-01-19 23:30:00,0.0241,0.02411,0.02382,0.02398,2810493.0,265797367.0,0.001171,1.267,-62.337,-1.184,False,False
1000FLOKIUSDT,2025-01-19 23:30:00,0.15785,0.15789,0.15591,0.15732,2867455.0,174656683.0,0.000139,0.601,-14.065,-1.128,False,False
1000LUNCUSDT,2025-01-19 23:30:00,0.09272,0.09272,0.092,0.09264,189356.0,33157217.0,0.0001,2.15,-55.981,-0.176,False,False
1000MUMUUSDT,2025-01-19 23:30:00,0.014722,0.014736,0.014412,0.01454,588950.0,105780260.0,0.0008,0.283,-43.983,1.79,True,True
1000NEIROCTOUSDT,2025-01-19 23:30:00,0.6569,0.6571,0.6468,0.6512,472522.0,12355331.0,0.0001,1.071,-21.193,-0.88,False,False
1000PEPEUSDT,2025-01-19 23:30:00,0.017036,0.017104,0.01684,0.017089,472410500.0,15342129200.0,0.000384,3.014,-16.168,2.494,False,False
1000RATSUSDT,2025-01-19 23:30:00,0.04539,0.04542,0.04477,0.04504,4162590.0,156296200.0,0.000703,1.009,-12.963,-0.66,False,False
1000TOSHIUSDT,2025-01-19 23:30:00,0.4813,0.4814,0.4687,0.4743,331562.0,8546955.0,0.0001,0.658,-73.868,7.315,False,False
1000TURBOUSDT,2025-01-19 23:30:00,7.227,7.2303,7.1423,7.1956,30701.0,686967.0,0.000391,0.593,5.462,-2.489,False,False
1000XECUSDT,2025-01-19 23:30:00,0.03537,0.03537,0.03503,0.03525,251310.0,29705510.0,0.0001,1.032,-56.376,-0.495,False,False
1000XUSDT,2025-01-19 23:30:00,0.12684,0.12684,0.12549,0.12643,309030.0,17971120.0,0.0001,1.493,-63.056,-2.191,False,False
1CATUSDT,2025-01-19 23:30:00,0.000781,0.000782,0.000771,0.000774,11188160.0,416861510.0,0.0001,1.044,-60.474,-3.86,False,False
1INCHUSDT,2025-01-19 23:30:00,0.3638,0.364,0.3605,0.3632,116770.1,21973126.2,0.0001,1.908,-48.107,0.891,False,False
A8USDT,2025-01-19 23:30:00,0.293,0.293,0.29017,0.29204,77486.0,5863000.0,0.0001,1.48,-13.508,0.115,False,False
