symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate
10000000AIDOGEUSDT,2025-01-09 09:00:00+09:00,0.002499,0.002556,0.00241,0.002501,172791200.0,152119300.0,0.0001,-17.946,-39.205,-14.321
1000000BABYDOGEUSDT,2025-01-09 09:00:00+09:00,0.0027495,0.0029007,0.0026753,0.0027542,4012740000.0,2233009500.0,-0.000146,-18.258,58.421,-11.002
1000000CHEEMSUSDT,2025-01-09 09:00:00+09:00,0.8367,0.8881,0.7449,0.7733,4435204.0,4817712.0,0.0001,-23.474,2.736,8.905
1000000MOGUSDT,2025-01-09 09:00:00+09:00,2.1798,2.2028,1.9926,2.0466,4818926.0,6866033.0,0.0001,-23.457,-25.757,-12.533
1000000PEIPEIUSDT,2025-01-09 09:00:00+09:00,0.0775,0.0785,0.0698,0.0722,10439287.0,20235656.0,0.0001,-28.302,-49.497,-23.602
10000COQUSDT,2025-01-09 09:00:00+09:00,0.01308,0.01329,0.01223,0.01279,38419300.0,70147790.0,0.0001,-14.505,-31.189,-30.603
10000LADYSUSDT,2025-01-09 09:00:00+09:00,0.0006956,0.0007075,0.0006439,0.0006688,1150626200.0,5457378600.0,0.0001,-17.125,22.33,-7.18
10000QUBICUSDT,2025-01-09 09:00:00+09:00,0.02761,0.02793,0.02468,0.02557,54502780.0,42684130.0,0.0001,-22.256,76.202,2.571
10000SATSUSDT,2025-01-09 09:00:00+09:00,0.001363,0.001412,0.001327,0.00139,7258768600.0,4730508500.0,0.0001,-27.072,175.453,31.997
10000WENUSDT,2025-01-09 09:00:00+09:00,0.7626,0.7756,0.7075,0.7447,1359647.0,4845393.0,0.0001,-21.07,33.074,0.541
10000WHYUSDT,2025-01-09 09:00:00+09:00,0.00105,0.001066,0.000962,0.000997,1294792700.0,2293758400.0,0.0001,-24.298,-31.588,1.973
1000APUUSDT,2025-01-09 09:00:00+09:00,0.6124,0.6232,0.5482,0.5712,4851569.0,4819623.0,0.0001,-26.638,-40.711,-9.236
1000BONKUSDT,2025-01-09 09:00:00+09:00,0.028796,0.029307,0.026768,0.027784,1197197400.0,8899244900.0,0.0001,-21.133,-12.204,-2.435
1000BTTUSDT,2025-01-09 09:00:00+09:00,0.0011433,0.0012098,0.0011236,0.0011575,6256972900.0,3558345600.0,-0.001118,-8.062,293.247,30.942
1000CATSUSDT,2025-01-09 09:00:00+09:00,0.01902,0.01924,0.0174,0.01806,17066430.0,32016380.0,0.0001,-21.512,-46.133,-17.908
1000CATUSDT,2025-01-09 09:00:00+09:00,0.02764,0.02808,0.02555,0.0269,173176091.0,251478063.0,0.0001,-25.236,51.359,-7.691
1000FLOKIUSDT,2025-01-09 09:00:00+09:00,0.16706,0.16957,0.15849,0.16412,75614365.0,180737308.0,0.0001,-18.523,10.185,-20.883
1000LUNCUSDT,2025-01-09 09:00:00+09:00,0.10448,0.10578,0.09913,0.10192,14212625.0,36114199.0,0.0001,-15.102,-0.317,-19.223
1000MUMUUSDT,2025-01-09 09:00:00+09:00,0.020522,0.021174,0.017913,0.018626,48946060.0,87078570.0,0.0001,-30.56,10.323,-17.1
1000NEIROCTOUSDT,2025-01-09 09:00:00+09:00,0.7957,0.8167,0.7512,0.7902,16000895.0,11885943.0,0.0001,-26.17,26.486,-2.844
1000PEPEUSDT,2025-01-09 09:00:00+09:00,0.017814,0.018086,0.016667,0.017417,12321484800.0,12583578500.0,0.0001,-16.172,10.099,-1.48
1000RATSUSDT,2025-01-09 09:00:00+09:00,0.05272,0.05441,0.05041,0.05249,180831800.0,157670700.0,0.0001,-28.302,17.386,-3.42
1000TOSHIUSDT,2025-01-09 09:00:00+09:00,0.1475,0.15,0.1308,0.1347,2249349.0,4438750.0,0.0001,-25.662,21.147,-30.513
1000TURBOUSDT,2025-01-09 09:00:00+09:00,8.4696,8.5979,8.0365,8.3475,551193.0,695914.0,0.0001,-17.707,-21.454,-14.47
1000XECUSDT,2025-01-09 09:00:00+09:00,0.03522,0.0367,0.03488,0.03607,45068550.0,29470130.0,0.0001,-6.844,95.738,-7.256
1000XUSDT,2025-01-09 09:00:00+09:00,0.13938,0.1415,0.1288,0.13395,12592410.0,16763310.0,0.0001,-21.515,19.043,1.763
1CATUSDT,2025-01-09 09:00:00+09:00,0.001267,0.001286,0.001187,0.00123,207714150.0,460221810.0,0.0001,-18.435,-66.251,-24.193
1INCHUSDT,2025-01-09 09:00:00+09:00,0.3822,0.3928,0.3735,0.3846,10638296.8,20282839.3,6.7e-05,-11.951,48.218,-11.023
A8USDT,2025-01-09 09:00:00+09:00,0.29285,0.30946,0.26628,0.27486,5866540.0,5600937.0,0.0001,-19.807,27.398,13.862
AAVEUSDT,2025-01-09 09:00:00+09:00,293.15,299.76,273.44,281.47,153674.05,230391.15,-7.6e-05,-17.552,20.762,6.603
ACEUSDT,2025-01-09 09:00:00+09:00,1.826,1.844,1.739,1.801,612826.8,647899.5,0.0001,-19.562,19.433,-13.833
ACHUSDT,2025-01-09 09:00:00+09:00,0.02323,0.023834,0.022318,0.022816,44827940.0,114461710.0,0.0001,-15.802,39.311,8.184
ACTUSDT,2025-01-09 09:00:00+09:00,0.301,0.3154,0.276,0.2879,104887588.0,31170630.0,0.0001,-18.557,25.931,16.02
ACXUSDT,2025-01-09 09:00:00+09:00,0.4696,0.4801,0.4307,0.4474,4354720.0,3700922.0,0.0001,-26.232,18.41,-1.588
ADAUSDT,2025-01-09 09:00:00+09:00,0.9461,0.9597,0.879,0.9104,243757681.0,228664922.0,-5.1e-05,-16.729,17.448,5.093
AERGOUSDT,2025-01-09 09:00:00+09:00,0.13,0.1425,0.1278,0.1388,43326731.0,17643953.0,0.0001,-0.43,-47.625,-22.894
AEROUSDT,2025-01-09 09:00:00+09:00,1.3007,1.3087,1.1238,1.1745,9610903.0,10299972.0,-0.000316,-21.417,33.319,-10.846
AEVOUSDT,2025-01-09 09:00:00+09:00,0.3355,0.3395,0.3157,0.3261,4837657.4,19737548.89999999,0.0001,-19.462,76.796,2.735
AGIUSDT,2025-01-09 09:00:00+09:00,0.14093,0.14204,0.13273,0.13648,31441920.0,70508930.0,0.0001,-19.609,-10.017,-3.527
AGLDUSDT,2025-01-09 09:00:00+09:00,2.2267,2.2274,1.9592,2.0111,19771366.0,6320449.4,-0.002579,-24.175,-69.133,-16.317
AI16ZUSDT,2025-01-09 09:00:00+09:00,1.7204,1.7638,1.2683,1.3764,81259803.0,22347560.0,5e-05,-37.059,-2.506,12.91
AIOZUSDT,2025-01-09 09:00:00+09:00,1.0123,1.0159,0.85,0.8847,7889184.0,6059981.0,0.0001,-22.942,-29.352,-28.57
AIUSDT,2025-01-09 09:00:00+09:00,0.6746,0.6799,0.6217,0.6519,16776037.9,10478006.69999999,0.0001,-14.94,-14.662,9.576
AIXBTUSDT,2025-01-09 09:00:00+09:00,0.4379,0.4778,0.3811,0.4026,97990780.0,48568310.0,0.0001,-26.827,-23.79,-17.259
AKTUSDT,2025-01-09 09:00:00+09:00,3.23,3.23,2.946,3.063,1564200.1,1764811.9,-0.001431,-20.483,-26.857,-4.866
ALEOUSDT,2025-01-09 09:00:00+09:00,0.7339,0.7344,0.6356,0.6517,4354328.0,5788240.0,0.0001,-23.787,-8.009,-3.782
ALGOUSDT,2025-01-09 09:00:00+09:00,0.3586,0.3634,0.3349,0.3472,91946307.2,81231532.8,0.0001,-16.297,13.375,-4.014
ALICEUSDT,2025-01-09 09:00:00+09:00,1.116,1.133,1.068,1.102,808768.5,2906150.9,0.0001,-15.685,41.738,7.052
ALPACAUSDT,2025-01-09 09:00:00+09:00,0.15873,0.16125,0.15169,0.15636,922765.0,4802674.0,0.0001,-16.039,20.94,1.653
