symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate
10000000AIDOGEUSDT,2025-01-10 00:00:00+09:00,0.002452,0.002494,0.00244,0.002494,3542900.0,152857400.0,0.0001,-1.11,-10.942,-1.934
1000000BABYDOGEUSDT,2025-01-10 00:00:00+09:00,0.0027278,0.0027612,0.0026988,0.0027514,109213400.0,2490361200.0,-0.000146,-1.837,103.116,3.033
1000000CHEEMSUSDT,2025-01-10 00:00:00+09:00,0.759,0.7711,0.7544,0.7711,71365.0,4643097.0,0.0001,-0.13,9.591,-1.752
1000000MOGUSDT,2025-01-10 00:00:00+09:00,2.0197,2.0496,2.0139,2.0465,70886.0,6790934.0,0.0001,0.108,124.194,-1.254
1000000PEIPEIUSDT,2025-01-10 00:00:00+09:00,0.0708,0.0723,0.0707,0.0722,186748.0,19894826.0,0.0001,-1.501,129.223,-0.853
10000COQUSDT,2025-01-10 00:00:00+09:00,0.01264,0.01281,0.01257,0.01279,1118030.0,68172020.0,0.0001,-1.691,87.856,0.864
10000LADYSUSDT,2025-01-10 00:00:00+09:00,0.0006601,0.0006677,0.0006568,0.0006675,29927700.0,5455581400.0,0.0001,-0.714,60.851,0.31
10000QUBICUSDT,2025-01-10 00:00:00+09:00,0.02543,0.02558,0.02534,0.02557,1050580.0,37343690.0,0.0001,0.078,19.172,-10.167
10000SATSUSDT,2025-01-10 00:00:00+09:00,0.00136,0.001385,0.001354,0.001384,211016800.0,4613333400.0,0.0001,0.0,58.869,5.679
10000WENUSDT,2025-01-10 00:00:00+09:00,0.7343,0.7453,0.7299,0.7445,48721.0,4905911.0,0.0001,1.031,55.457,1.823
10000WHYUSDT,2025-01-10 00:00:00+09:00,0.000981,0.000998,0.000977,0.000997,27170900.0,2318847900.0,0.0001,-0.598,-57.754,0.639
1000APUUSDT,2025-01-10 00:00:00+09:00,0.5607,0.5725,0.5555,0.5712,127112.0,4676616.0,0.0001,-2.658,-43.961,-1.03
1000BONKUSDT,2025-01-10 00:00:00+09:00,0.027354,0.0278,0.027197,0.027769,37307900.0,8879831200.0,0.0001,-0.384,76.66,0.1
1000BTTUSDT,2025-01-10 00:00:00+09:00,0.0011434,0.0011565,0.0011395,0.0011564,86526600.0,3821963800.0,-0.001118,-1.373,-71.781,-3.267
1000CATSUSDT,2025-01-10 00:00:00+09:00,0.01776,0.01807,0.01773,0.01803,468980.0,32851490.0,0.0001,-4.249,35.165,3.718
1000CATUSDT,2025-01-10 00:00:00+09:00,0.02633,0.0269,0.02623,0.02687,7358557.0,231807311.0,0.0001,0.0,24.028,-0.677
1000FLOKIUSDT,2025-01-10 00:00:00+09:00,0.16166,0.16412,0.16078,0.16384,5903689.0,175432148.0,0.0001,-0.661,123.781,-0.392
1000LUNCUSDT,2025-01-10 00:00:00+09:00,0.10063,0.10178,0.10036,0.10174,343799.0,35685587.0,0.0001,-0.528,22.485,-0.875
1000MUMUUSDT,2025-01-10 00:00:00+09:00,0.018468,0.0186,0.018292,0.018598,1807080.0,88809600.0,0.0001,0.901,10.299,0.215
