symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate,volume_spike_flag
10000000AIDOGEUSDT,2025-01-16 23:00:00+09:00,0.002542,0.00255,0.002528,0.002548,636400.0,0.0,0.00069,1.111,-93.413,0.0,False
1000000BABYDOGEUSDT,2025-01-16 23:00:00+09:00,0.0028116,0.0028188,0.0027872,0.0028132,53066100.0,0.0,0.0001,0.135,-68.623,0.0,False
1000000CHEEMSUSDT,2025-01-16 23:00:00+09:00,0.5844,0.588,0.5802,0.5875,39591.0,0.0,0.0001,-2.619,-79.459,0.0,False
1000000MOGUSDT,2025-01-16 23:00:00+09:00,1.8251,1.8278,1.8026,1.8191,175042.0,0.0,0.00101,-4.729,-66.649,0.0,False
1000000PEIPEIUSDT,2025-01-16 23:00:00+09:00,0.07616,0.07623,0.07548,0.0761,142360.0,0.0,0.001884,-0.653,-79.078,0.0,False
10000COQUSDT,2025-01-16 23:00:00+09:00,0.01289,0.01291,0.01284,0.0129,824610.0,0.0,0.0001,-0.463,-81.673,0.0,False
10000LADYSUSDT,2025-01-16 23:00:00+09:00,0.0006887,0.0006912,0.0006856,0.0006882,10914800.0,0.0,0.000193,-0.506,-84.452,0.0,False
10000QUBICUSDT,2025-01-16 23:00:00+09:00,0.0248,0.02497,0.02467,0.02476,539260.0,0.0,0.0001,0.365,-51.117,0.0,False
10000SATSUSDT,2025-01-16 23:00:00+09:00,0.001427,0.001431,0.00142,0.001431,28591100.0,0.0,0.000238,0.633,-78.819,0.0,False
10000WENUSDT,2025-01-16 23:00:00+09:00,0.8044,0.8044,0.7979,0.8036,16346.0,0.0,0.0001,-2.191,-95.844,0.0,False
10000WHYUSDT,2025-01-16 23:00:00+09:00,0.001035,0.001035,0.001018,0.001026,31646600.0,0.0,0.000197,-0.292,-50.226,0.0,False
1000APUUSDT,2025-01-16 23:00:00+09:00,0.7224,0.7234,0.7143,0.7234,34392.0,0.0,0.001286,-0.152,-91.004,0.0,False
1000BONKUSDT,2025-01-16 23:00:00+09:00,0.029181,0.029498,0.029041,0.029465,61648400.0,0.0,0.000877,2.238,-62.046,0.0,False
1000BTTUSDT,2025-01-16 23:00:00+09:00,0.0011511,0.0011526,0.0011468,0.0011519,19034400.0,0.0,-0.00018,-0.32,-75.906,0.0,False
1000CATSUSDT,2025-01-16 23:00:00+09:00,0.015,0.01507,0.01495,0.01501,304100.0,0.0,0.000271,-0.859,-70.32,0.0,False
1000CATUSDT,2025-01-16 23:00:00+09:00,0.02783,0.02792,0.02764,0.02792,3255597.0,0.0,0.000468,-0.321,-75.778,0.0,False
1000FLOKIUSDT,2025-01-16 23:00:00+09:00,0.16986,0.17127,0.16888,0.17114,2805115.0,0.0,0.000476,1.332,-53.746,0.0,False
1000LUNCUSDT,2025-01-16 23:00:00+09:00,0.10363,0.10382,0.10334,0.10382,102504.0,0.0,0.0001,-0.307,-88.458,0.0,False
1000MUMUUSDT,2025-01-16 23:00:00+09:00,0.017793,0.017862,0.017574,0.01772,1372370.0,0.0,0.00279,-3.717,-57.338,0.0,False
1000NEIROCTOUSDT,2025-01-16 23:00:00+09:00,0.8267,0.8284,0.8175,0.8284,236560.0,0.0,0.001608,1.819,-65.726,0.0,False
1000PEPEUSDT,2025-01-16 23:00:00+09:00,0.018394,0.018454,0.018262,0.018441,448594400.0,0.0,0.000192,-0.818,-56.513,0.0,False
1000RATSUSDT,2025-01-16 23:00:00+09:00,0.05293,0.05308,0.05242,0.05299,3778740.0,0.0,0.000419,0.151,-60.065,0.0,False
1000TOSHIUSDT,2025-01-16 23:00:00+09:00,0.2886,0.2913,0.2858,0.2875,582519.0,0.0,0.0001,-1.977,-77.064,0.0,False
1000TURBOUSDT,2025-01-16 23:00:00+09:00,8.2281,8.24,8.1483,8.2344,13311.0,0.0,0.000471,-0.199,-67.537,0.0,False
1000XECUSDT,2025-01-16 23:00:00+09:00,0.03763,0.03776,0.03749,0.03776,1219480.0,0.0,0.0001,0.532,6.408,0.0,False
1000XUSDT,2025-01-16 23:00:00+09:00,0.15213,0.15297,0.15087,0.15297,522210.0,0.0,0.000952,1.11,-84.655,0.0,False
1CATUSDT,2025-01-16 23:00:00+09:00,0.001231,0.001236,0.001229,0.001236,1665740.0,0.0,0.001818,-0.323,-84.508,0.0,False
1INCHUSDT,2025-01-16 23:00:00+09:00,0.3842,0.385,0.382,0.3846,160879.1,0.0,0.0001,-0.156,-82.53,0.0,False
A8USDT,2025-01-16 23:00:00+09:00,0.33429,0.33467,0.33279,0.334,147069.0,0.0,0.0001,-2.222,-64.391,0.0,False
AAVEUSDT,2025-01-16 23:00:00+09:00,315.14,315.85,313.05,315.77,4388.16,0.0,0.000169,0.866,-78.874,0.0,False
ACEUSDT,2025-01-16 23:00:00+09:00,1.879,1.884,1.867,1.884,4103.6,0.0,0.00031,0.213,-72.094,0.0,False
ACHUSDT,2025-01-16 23:00:00+09:00,0.023418,0.023468,0.023271,0.023468,673730.0,0.0,0.0001,0.437,-77.732,0.0,False
ACTUSDT,2025-01-16 23:00:00+09:00,0.2551,0.2556,0.2527,0.255,321334.0,0.0,0.00157,-1.009,-78.674,0.0,False
ACXUSDT,2025-01-16 23:00:00+09:00,0.4373,0.4385,0.4343,0.4384,47310.0,0.0,0.0001,0.183,-50.24,0.0,False
ADAUSDT,2025-01-16 23:00:00+09:00,1.0887,1.0976,1.0853,1.0962,5010456.0,0.0,0.000146,2.794,-87.605,0.0,False
AERGOUSDT,2025-01-16 23:00:00+09:00,0.1269,0.1272,0.1263,0.1272,201539.0,0.0,0.0001,-0.313,-79.301,0.0,False
AEROUSDT,2025-01-16 23:00:00+09:00,1.2888,1.2942,1.2787,1.2854,198476.0,0.0,0.001649,1.757,-65.829,0.0,False
AEVOUSDT,2025-01-16 23:00:00+09:00,0.3349,0.3358,0.3331,0.3357,91386.5,0.0,0.000375,0.119,-72.91,0.0,False
AGIUSDT,2025-01-16 23:00:00+09:00,0.13901,0.13949,0.13839,0.13936,286010.0,0.0,0.000473,0.237,-84.639,0.0,False
AGLDUSDT,2025-01-16 23:00:00+09:00,1.9851,1.9855,1.9572,1.972,299623.5,0.0,0.0001,-2.637,-74.361,0.0,False
AI16ZUSDT,2025-01-16 23:00:00+09:00,1.433,1.4338,1.4072,1.4281,1043422.0,0.0,5e-05,-4.449,-81.412,0.0,False
AIOZUSDT,2025-01-16 23:00:00+09:00,0.9951,1.0002,0.9919,0.9987,34918.0,0.0,0.0001,-1.031,-78.146,0.0,False
AIUSDT,2025-01-16 23:00:00+09:00,0.6725,0.6754,0.6689,0.6745,148343.7,0.0,0.0001,-0.78,-65.004,0.0,False
AIXBTUSDT,2025-01-16 23:00:00+09:00,0.7835,0.7948,0.7809,0.7939,4339590.0,0.0,0.0001,-15.632,-85.168,0.0,False
AKTUSDT,2025-01-16 23:00:00+09:00,3.101,3.109,3.084,3.108,24333.3,0.0,0.000991,-0.512,-45.308,0.0,False
ALCHUSDT,2025-01-16 23:00:00+09:00,0.16156,0.16372,0.15958,0.16303,6109522.0,0.0,0.0001,-6.691,-85.941,0.0,False
ALEOUSDT,2025-01-16 23:00:00+09:00,0.576,0.579,0.5757,0.5788,81621.0,0.0,0.000686,-0.856,-67.551,0.0,False
ALGOUSDT,2025-01-16 23:00:00+09:00,0.4785,0.4813,0.4759,0.4806,2895429.4,0.0,0.0001,3.645,-82.931,0.0,False
ALICEUSDT,2025-01-16 23:00:00+09:00,1.151,1.155,1.146,1.153,14352.3,0.0,0.000411,-0.173,-65.253,0.0,False
ALPACAUSDT,2025-01-16 23:00:00+09:00,0.16327,0.16358,0.16246,0.16358,11774.0,0.0,0.000773,-0.505,-84.901,0.0,False
ALPHAUSDT,2025-01-16 23:00:00+09:00,0.0773,0.07762,0.07686,0.07745,263539.0,0.0,5e-05,0.129,-74.633,0.0,False
ALTUSDT,2025-01-16 23:00:00+09:00,0.10038,0.10056,0.09956,0.1005,641980.0,0.0,0.0001,0.48,-45.363,0.0,False
ALUUSDT,2025-01-16 23:00:00+09:00,0.14219,0.14219,0.13872,0.14033,741834.0,0.0,5e-05,-4.771,-54.939,0.0,False
AMBUSDT,2025-01-16 23:00:00+09:00,0.007021,0.007048,0.007,0.007046,436880.0,0.0,0.0001,0.199,-74.744,0.0,False
ANKRUSDT,2025-01-16 23:00:00+09:00,0.03693,0.03706,0.03675,0.03706,1170497.0,0.0,0.0001,1.064,-80.721,0.0,False
APEUSDT,2025-01-16 23:00:00+09:00,1.12,1.1238,1.1131,1.1238,158538.4,0.0,0.000226,0.889,-80.731,0.0,False
API3USDT,2025-01-16 23:00:00+09:00,1.505,1.507,1.497,1.507,13167.7,0.0,0.000378,0.534,-71.643,0.0,False
APTUSDT,2025-01-16 23:00:00+09:00,9.3,9.3375,9.253,9.3375,113099.89,0.0,0.000115,0.139,-58.648,0.0,False
ARBUSDT,2025-01-16 23:00:00+09:00,0.7687,0.7713,0.7643,0.7707,1424206.7,0.0,0.000117,0.706,-71.786,0.0,False
ARCUSDT,2025-01-16 23:00:00+09:00,0.4494,0.45068,0.44183,0.45008,1240018.0,0.0,5e-05,-8.996,-91.016,0.0,False
ARKMUSDT,2025-01-16 23:00:00+09:00,1.4078,1.4123,1.3988,1.4113,45001.0,0.0,0.0001,0.563,-86.286,0.0,False
ARKUSDT,2025-01-16 23:00:00+09:00,0.6027,0.6062,0.6006,0.6059,141529.0,0.0,0.0001,-1.239,-35.358,0.0,False
ARPAUSDT,2025-01-16 23:00:00+09:00,0.04731,0.04744,0.04714,0.04744,81910.0,0.0,0.0001,-0.252,-78.656,0.0,False
ARUSDT,2025-01-16 23:00:00+09:00,17.005,17.113,16.893,17.111,37996.8,0.0,0.0001,3.458,51.864,0.0,False
ASTRUSDT,2025-01-16 23:00:00+09:00,0.06133,0.06174,0.06118,0.061735,1876074.0,0.0,0.0001,0.325,4.119,0.0,False
ATAUSDT,2025-01-16 23:00:00+09:00,0.13652,0.13765,0.13586,0.13764,494490.0,0.0,0.0001,-1.531,-76.833,0.0,False
ATHUSDT,2025-01-16 23:00:00+09:00,0.06507,0.06515,0.06464,0.06504,859610.0,0.0,0.0001,-0.199,-63.684,0.0,False
ATOMUSDT,2025-01-16 23:00:00+09:00,6.61,6.64,6.583,6.639,71182.3,0.0,0.0001,0.484,-71.235,0.0,False
AUCTIONUSDT,2025-01-16 23:00:00+09:00,15.331,15.355,15.246,15.329,2112.4,0.0,5e-05,-0.065,-67.203,0.0,False
AUDIOUSDT,2025-01-16 23:00:00+09:00,0.1486,0.1492,0.1481,0.149,181526.2,0.0,0.000589,0.269,-56.066,0.0,False
AVAAIUSDT,2025-01-16 23:00:00+09:00,0.25173,0.257,0.24688,0.24956,3447756.0,0.0,0.0001,-10.645,-53.259,0.0,False
AVAILUSDT,2025-01-16 23:00:00+09:00,0.12113,0.12238,0.1205,0.12189,1377121.0,0.0,0.0001,0.033,83.492,0.0,False
AVAUSDT,2025-01-16 23:00:00+09:00,1.0968,1.1032,1.0925,1.1032,16567.9,0.0,0.0001,0.355,-79.922,0.0,False
AVAXUSDT,2025-01-16 23:00:00+09:00,39.58,39.745,39.375,39.74,84022.1,0.0,0.0001,0.633,-67.337,0.0,False
AXLUSDT,2025-01-16 23:00:00+09:00,0.6521,0.653,0.6461,0.653,108563.0,0.0,0.000447,0.462,-6.068,0.0,False
AXSUSDT,2025-01-16 23:00:00+09:00,6.456,6.478,6.429,6.469,15326.7,0.0,0.0001,0.31,-71.789,0.0,False
BADGERUSDT,2025-01-16 23:00:00+09:00,4.174,4.182,4.156,4.181,3335.3,0.0,0.0001,-0.594,-38.288,0.0,False
BAKEUSDT,2025-01-16 23:00:00+09:00,0.2441,0.2445,0.2426,0.2444,37768.9,0.0,0.000229,0.908,-73.366,0.0,False
BALUSDT,2025-01-16 23:00:00+09:00,2.551,2.557,2.534,2.557,5333.2,0.0,0.0001,-0.117,55.357,0.0,False
BANANAUSDT,2025-01-16 23:00:00+09:00,38.688,38.78,38.214,38.749,4696.09,0.0,0.000718,-0.072,-13.46,0.0,False
BANDUSDT,2025-01-16 23:00:00+09:00,1.394,1.397,1.385,1.394,11721.7,0.0,0.0001,-0.429,-76.077,0.0,False
BANUSDT,2025-01-16 23:00:00+09:00,0.06666,0.06683,0.06601,0.06682,5951774.0,0.0,0.0001,-2.566,-88.516,0.0,False
BATUSDT,2025-01-16 23:00:00+09:00,0.2563,0.2573,0.2552,0.257,311660.3,0.0,0.0001,1.261,-33.755,0.0,False
BBUSDT,2025-01-16 23:00:00+09:00,0.3453,0.3463,0.3431,0.3462,60013.0,0.0,0.0001,0.377,-86.253,0.0,False
BCHUSDT,2025-01-16 23:00:00+09:00,457.3,458.8,455.4,458.6,1857.66,0.0,0.0001,0.416,-57.426,0.0,False
BEAMUSDT,2025-01-16 23:00:00+09:00,0.023213,0.023252,0.023012,0.023252,4074500.0,0.0,0.000601,-0.266,-86.357,0.0,False
BELUSDT,2025-01-16 23:00:00+09:00,0.572,0.5731,0.5687,0.5731,18766.0,0.0,0.0001,-1.292,-95.973,0.0,False
BENDOGUSDT,2025-01-16 23:00:00+09:00,0.007782,0.007816,0.00775,0.007812,294340.0,0.0,0.000989,-1.201,-93.234,0.0,False
BICOUSDT,2025-01-16 23:00:00+09:00,0.2899,0.2906,0.2875,0.29,43636.1,0.0,0.0001,0.45,-86.067,0.0,False
BIGTIMEUSDT,2025-01-16 23:00:00+09:00,0.12144,0.12172,0.12064,0.12169,631582.0,0.0,0.00122,0.628,-44.516,0.0,False
BILLYUSDT,2025-01-16 23:00:00+09:00,0.01248,0.0127,0.01237,0.01268,1133700.0,0.0,0.0001,-0.86,-86.376,0.0,False
BIOUSDT,2025-01-16 23:00:00+09:00,0.4084,0.4088,0.405,0.4082,113714.0,0.0,0.0001,-1.781,-93.311,0.0,False
BLASTUSDT,2025-01-16 23:00:00+09:00,0.008887,0.008919,0.008855,0.008919,5609850.0,0.0,0.0001,-0.201,-70.44,0.0,False
BLUEUSDT,2025-01-16 23:00:00+09:00,0.26599,0.26708,0.2633,0.26539,189585.0,0.0,0.0001,2.594,-68.174,0.0,False
BLURUSDT,2025-01-16 23:00:00+09:00,0.2264,0.2273,0.2254,0.2273,402285.0,0.0,0.0001,0.664,-66.692,0.0,False
