symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate
10000000AIDOGEUSDT,2025-01-10 00:00:00+09:00,0.002452,0.002494,0.00244,0.002492,3536400.0,152857400.0,0.0001,2.509,70.219,-2.07
1000000BABYDOGEUSDT,2025-01-10 00:00:00+09:00,0.0027278,0.0027612,0.0026988,0.0027489,108682800.0,2490361200.0,-0.000146,2.049,22.757,2.547
1000000CHEEMSUSDT,2025-01-10 00:00:00+09:00,0.759,0.7708,0.7544,0.7698,71168.0,4643097.0,0.0001,1.745,108.275,-0.033
1000000MOGUSDT,2025-01-10 00:00:00+09:00,2.0197,2.0496,2.0139,2.0437,70008.0,6790934.0,0.0001,2.211,69.336,-1.311
1000000PEIPEIUSDT,2025-01-10 00:00:00+09:00,0.0708,0.0723,0.0707,0.0722,186748.0,19894826.0,0.0001,2.849,145.9,-1.463
10000COQUSDT,2025-01-10 00:00:00+09:00,0.01264,0.01281,0.01257,0.01279,1118030.0,68172020.0,0.0001,3.228,37.076,-1.291
10000LADYSUSDT,2025-01-10 00:00:00+09:00,0.0006601,0.0006672,0.0006568,0.0006665,29781500.0,5455581400.0,0.0001,3.03,235.143,0.344
10000QUBICUSDT,2025-01-10 00:00:00+09:00,0.02543,0.02558,0.02534,0.02555,1038270.0,37343690.0,0.0001,2.037,110.664,-9.503
10000SATSUSDT,2025-01-10 00:00:00+09:00,0.00136,0.001384,0.001354,0.001383,206840800.0,4613333400.0,0.0001,3.132,139.725,5.729
10000WENUSDT,2025-01-10 00:00:00+09:00,0.7343,0.7453,0.7299,0.7445,48205.0,4905911.0,0.0001,4.579,59.348,2.525
10000WHYUSDT,2025-01-10 00:00:00+09:00,0.000981,0.000996,0.000977,0.000995,25620700.0,2318847900.0,0.0001,2.366,-63.252,1.415
1000APUUSDT,2025-01-10 00:00:00+09:00,0.5607,0.5725,0.5555,0.5709,126846.0,4676616.0,0.0001,1.965,54.764,0.279
1000BONKUSDT,2025-01-10 00:00:00+09:00,0.027354,0.027795,0.027197,0.027744,36893100.0,8879831200.0,0.0001,3.168,273.197,0.096
1000BTTUSDT,2025-01-10 00:00:00+09:00,0.0011434,0.0011563,0.0011395,0.0011557,86076300.0,3821963800.0,-0.001118,1.914,83.395,-2.76
1000CATSUSDT,2025-01-10 00:00:00+09:00,0.01776,0.01807,0.01773,0.01803,468980.0,32851490.0,0.0001,-0.716,383.663,3.392
1000CATUSDT,2025-01-10 00:00:00+09:00,0.02633,0.02684,0.02623,0.02684,7244380.0,231807311.0,0.0001,3.991,273.416,-0.905
1000FLOKIUSDT,2025-01-10 00:00:00+09:00,0.16166,0.16412,0.16078,0.16378,5876123.0,175432148.0,0.0001,3.065,214.548,-0.454
1000LUNCUSDT,2025-01-10 00:00:00+09:00,0.10063,0.10178,0.10036,0.10168,343737.0,35685587.0,0.0001,2.397,215.747,-0.703
1000MUMUUSDT,2025-01-10 00:00:00+09:00,0.018468,0.0186,0.018292,0.018598,1807080.0,88809600.0,0.0001,3.007,158.043,-1.41
1000NEIROCTOUSDT,2025-01-10 00:00:00+09:00,0.7784,0.7927,0.7699,0.7896,699206.0,11301779.0,0.0001,3.881,154.483,-1.931
1000PEPEUSDT,2025-01-10 00:00:00+09:00,0.017115,0.017404,0.016995,0.017355,732547100.0,12553005200.0,0.0001,3.6,528.463,1.767
1000RATSUSDT,2025-01-10 00:00:00+09:00,0.05165,0.05245,0.05127,0.05235,5017860.0,163069330.0,0.0001,2.748,111.757,-1.709
1000TOSHIUSDT,2025-01-10 00:00:00+09:00,0.1339,0.1348,0.1335,0.1347,62939.0,4301229.0,0.0001,1.431,25.061,-1.932
1000TURBOUSDT,2025-01-10 00:00:00+09:00,8.2171,8.3472,8.1685,8.3318,23775.0,635053.0,0.0001,3.162,124.443,-1.228
1000XECUSDT,2025-01-10 00:00:00+09:00,0.03554,0.0361,0.0354,0.03604,1092210.0,30049330.0,0.0001,2.474,66.038,-2.588
1000XUSDT,2025-01-10 00:00:00+09:00,0.13199,0.13379,0.13151,0.13369,361730.0,15736730.0,0.0001,2.807,118.363,-1.48
1CATUSDT,2025-01-10 00:00:00+09:00,0.00121,0.001231,0.001206,0.001229,4813590.0,478311730.0,0.0001,2.845,355.796,2.123
1INCHUSDT,2025-01-10 00:00:00+09:00,0.3785,0.3843,0.377,0.384,358435.3,20939829.6,6.7e-05,2.509,205.386,-0.39
A8USDT,2025-01-10 00:00:00+09:00,0.27053,0.27514,0.26994,0.27427,256979.0,5127924.0,0.0001,-3.768,507.81,-5.384
AAVEUSDT,2025-01-10 00:00:00+09:00,276.92,281.23,275.34,280.78,4271.9,235727.64,-7.6e-05,1.946,271.967,1.693
ACEUSDT,2025-01-10 00:00:00+09:00,1.773,1.797,1.764,1.796,7763.8,718262.0,0.0001,2.629,181.939,-0.573
ACHUSDT,2025-01-10 00:00:00+09:00,0.022489,0.022806,0.02239,0.022761,1692490.0,113930410.0,0.0001,1.313,250.536,0.992
ACTUSDT,2025-01-10 00:00:00+09:00,0.2832,0.2898,0.281,0.2882,2486480.0,32504248.0,0.0001,2.162,186.221,-1.305
ACXUSDT,2025-01-10 00:00:00+09:00,0.4381,0.4469,0.4363,0.4463,135547.0,3635516.0,0.0001,2.269,117.616,-5.943
ADAUSDT,2025-01-10 00:00:00+09:00,0.897,0.9102,0.8916,0.9092,8476858.0,222670307.0,-5.1e-05,3.119,132.351,-1.239
AERGOUSDT,2025-01-10 00:00:00+09:00,0.1349,0.1392,0.1347,0.1388,1731355.0,15241920.0,0.0001,2.815,-34.737,-6.567
AEROUSDT,2025-01-10 00:00:00+09:00,1.1583,1.1749,1.1539,1.1733,348171.0,9923474.0,-0.000316,3.924,142.202,-1.274
AEVOUSDT,2025-01-10 00:00:00+09:00,0.322,0.326,0.3205,0.3257,164294.7,19801610.89999999,0.0001,2.164,443.41,-0.085
AGIUSDT,2025-01-10 00:00:00+09:00,0.1353,0.1363,0.1346,0.13616,1149820.0,67098430.0,0.0001,2.207,159.793,-3.143
AGLDUSDT,2025-01-10 00:00:00+09:00,1.9768,2.0108,1.9731,2.0075,515567.8,6375757.2,-0.002579,2.064,105.889,0.257
AI16ZUSDT,2025-01-10 00:00:00+09:00,1.3518,1.3735,1.3393,1.3722,2519715.0,29172116.0,5e-05,5.206,197.21,6.282
AIOZUSDT,2025-01-10 00:00:00+09:00,0.8693,0.8884,0.8604,0.8847,296667.0,6489025.0,0.0001,2.765,75.669,-4.377
AIUSDT,2025-01-10 00:00:00+09:00,0.6424,0.6501,0.636,0.6493,579648.5,9251017.69999999,0.0001,1.564,105.641,-2.242
AIXBTUSDT,2025-01-10 00:00:00+09:00,0.3914,0.4034,0.3896,0.4025,2537030.0,46369340.0,0.0001,3.391,220.783,-4.301
AKTUSDT,2025-01-10 00:00:00+09:00,3.016,3.063,3.003,3.058,23154.0,1624311.4,-0.001431,2.035,112.362,-2.739
ALCHUSDT,2025-01-10 00:00:00+09:00,0.13493,0.13913,0.13421,0.13847,4068981.0,24152894.0,0.0001,3.028,52.583,-2.695
ALEOUSDT,2025-01-10 00:00:00+09:00,0.6512,0.6536,0.6457,0.6527,118100.0,5261548.0,0.0001,1.445,108.003,-0.093
ALGOUSDT,2025-01-10 00:00:00+09:00,0.3419,0.3472,0.3393,0.3467,3906458.8,78437128.1,0.0001,2.848,142.577,-1.175
ALICEUSDT,2025-01-10 00:00:00+09:00,1.085,1.102,1.081,1.099,34064.6,2891384.9,0.0001,2.328,135.109,1.257
ALPACAUSDT,2025-01-10 00:00:00+09:00,0.15348,0.15604,0.15288,0.15604,34130.0,4746773.0,0.0001,2.375,100.241,-0.973
ALPHAUSDT,2025-01-10 00:00:00+09:00,0.07256,0.07371,0.07216,0.07359,1095328.0,24434249.0,0.00019,2.665,136.271,-2.593
ALTUSDT,2025-01-10 00:00:00+09:00,0.1026,0.10405,0.10189,0.10395,432642.0,51688664.0,2.6e-05,3.33,424.618,0.548
AMBUSDT,2025-01-10 00:00:00+09:00,0.00676,0.00688,0.006732,0.006878,2007840.0,124778920.0,0.0001,2.002,587.922,-2.719
