symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate,volume_spike_flag,small_price_move_flag
10000000AIDOGEUSDT,2025-01-09 21:00:00+09:00,0.00252,0.002556,0.00241,0.002534,60972900.0,155872500.0,0.0001,1.319,-17.356,2.467,False,False
1000000BABYDOGEUSDT,2025-01-09 21:00:00+09:00,0.0028452,0.0029007,0.0026753,0.0027933,1983542700.0,2417057100.0,-0.000146,1.619,-31.901,8.242,False,False
1000000CHEEMSUSDT,2025-01-09 21:00:00+09:00,0.7846,0.8026,0.7449,0.8006,790696.0,4725902.0,0.0001,0.628,-18.232,-1.906,False,True
1000000MOGUSDT,2025-01-09 21:00:00+09:00,2.0623,2.0803,1.9926,2.0802,2162714.0,6877191.0,0.0001,-1.23,-19.484,0.163,False,False
1000000PEIPEIUSDT,2025-01-09 21:00:00+09:00,0.0739,0.0746,0.0698,0.0745,3613902.0,20065920.0,0.0001,-0.799,-44.216,-0.839,False,True
10000COQUSDT,2025-01-09 21:00:00+09:00,0.01297,0.01312,0.01223,0.01296,16369720.0,67588360.0,0.0001,0.699,-54.149,-3.649,False,True
10000LADYSUSDT,2025-01-09 21:00:00+09:00,0.0006737,0.0006821,0.0006439,0.0006817,428810300.0,5438708100.0,0.0001,-0.786,-23.29,-0.342,False,True
10000QUBICUSDT,2025-01-09 21:00:00+09:00,0.02573,0.02584,0.02468,0.02573,21138120.0,41570320.0,0.0001,-6.504,-18.984,-2.609,False,False
10000SATSUSDT,2025-01-09 21:00:00+09:00,0.001386,0.001415,0.001327,0.00141,2262629400.0,4365418300.0,0.0001,1.512,-41.12,-7.718,False,False
10000WENUSDT,2025-01-09 21:00:00+09:00,0.7333,0.7533,0.7075,0.7529,653083.0,4818064.0,0.0001,-0.542,-23.227,-0.564,False,True
10000WHYUSDT,2025-01-09 21:00:00+09:00,0.001003,0.00102,0.000962,0.001012,345545100.0,2304131200.0,0.0001,-2.411,11.812,0.452,False,False
1000APUUSDT,2025-01-09 21:00:00+09:00,0.5958,0.5985,0.5482,0.5782,1386474.0,4725292.0,0.0001,-5.415,-16.591,-1.957,False,False
1000BONKUSDT,2025-01-09 21:00:00+09:00,0.028009,0.028201,0.026768,0.028151,451195500.0,8870940800.0,0.0001,-1.738,-24.949,-0.318,False,False
1000BTTUSDT,2025-01-09 21:00:00+09:00,0.0011721,0.0011754,0.0011247,0.0011577,860571400.0,3951063000.0,-0.001118,1.624,169.601,11.037,False,False
1000CATSUSDT,2025-01-09 21:00:00+09:00,0.01886,0.01897,0.0174,0.0183,6812080.0,31673770.0,0.0001,-3.937,-23.713,-1.07,False,False
1000CATUSDT,2025-01-09 21:00:00+09:00,0.02692,0.02721,0.02555,0.0271,55903447.0,233388140.0,0.0001,-0.623,-42.372,-7.193,False,True
1000FLOKIUSDT,2025-01-09 21:00:00+09:00,0.16516,0.16647,0.15849,0.16626,37123438.0,176121948.0,0.0001,-0.366,-35.333,-2.554,False,True
1000LUNCUSDT,2025-01-09 21:00:00+09:00,0.10241,0.10334,0.09913,0.10314,5015134.0,36000444.0,0.0001,-0.434,-32.095,-0.315,False,True
1000MUMUUSDT,2025-01-09 21:00:00+09:00,0.019048,0.019093,0.017913,0.019093,16837440.0,88619140.0,0.0001,-5.175,-42.485,1.769,False,False
1000NEIROCTOUSDT,2025-01-09 21:00:00+09:00,0.7967,0.8053,0.7512,0.8016,6749939.0,11537252.0,0.0001,0.552,-46.527,-2.934,False,True
1000PEPEUSDT,2025-01-09 21:00:00+09:00,0.017585,0.017654,0.016667,0.017635,6178962400.0,12268243200.0,0.0001,-1.667,-31.459,-2.506,False,False
1000RATSUSDT,2025-01-09 21:00:00+09:00,0.05322,0.05372,0.05041,0.05329,76624410.0,164293240.0,0.0001,1.12,-32.468,4.2,False,False
1000TOSHIUSDT,2025-01-09 21:00:00+09:00,0.1364,0.1386,0.1308,0.1384,794971.0,4335839.0,0.0001,-3.554,-65.445,-2.318,False,False
1000TURBOUSDT,2025-01-09 21:00:00+09:00,8.379,8.4497,8.0365,8.432,228357.0,652204.0,0.0001,0.878,-29.272,-6.281,False,True
1000XECUSDT,2025-01-09 21:00:00+09:00,0.03642,0.0367,0.03497,0.03633,13319420.0,31856520.0,0.0001,1.537,91.086,8.098,True,False
1000XUSDT,2025-01-09 21:00:00+09:00,0.13451,0.1361,0.1288,0.13576,4738800.0,16153360.0,0.0001,-1.323,-50.893,-3.639,False,False
1CATUSDT,2025-01-09 21:00:00+09:00,0.001248,0.001255,0.001187,0.001251,92676040.0,472459710.0,0.0001,0.08,-24.605,2.659,False,True
1INCHUSDT,2025-01-09 21:00:00+09:00,0.3889,0.3906,0.3735,0.3877,4411237.3,20898529.2,6.7e-05,-0.334,-9.324,3.036,False,True
A8USDT,2025-01-09 21:00:00+09:00,0.3009,0.30124,0.26628,0.27895,2917397.0,5484333.0,0.0001,-3.936,16.557,-2.082,True,False
AAVEUSDT,2025-01-09 21:00:00+09:00,284.28,286.65,273.44,286.52,62396.89,231248.54,-7.6e-05,-1.617,-38.719,0.372,False,False
ACEUSDT,2025-01-09 21:00:00+09:00,1.811,1.834,1.739,1.832,107065.0,719263.7,0.0001,1.327,26.241,11.015,False,False
ACHUSDT,2025-01-09 21:00:00+09:00,0.023343,0.023466,0.022318,0.023133,17664210.0,113120730.0,0.0001,-0.946,-5.829,-1.172,False,True
ACTUSDT,2025-01-09 21:00:00+09:00,0.2888,0.2938,0.276,0.2923,27283407.0,33225134.0,0.0001,-0.307,-25.846,6.591,False,True
ACXUSDT,2025-01-09 21:00:00+09:00,0.4554,0.4588,0.4307,0.4544,2022174.0,3814626.0,0.0001,-3.196,-36.758,3.072,False,False
ADAUSDT,2025-01-09 21:00:00+09:00,0.9115,0.9278,0.879,0.9241,94694195.0,223694245.0,-5.1e-05,-1.219,-38.179,-2.174,False,False
AERGOUSDT,2025-01-09 21:00:00+09:00,0.1407,0.1417,0.1339,0.1394,17332413.0,16150121.0,0.0001,4.812,74.227,-8.467,True,False
AEROUSDT,2025-01-09 21:00:00+09:00,1.2141,1.22,1.1238,1.2065,5198943.0,10116793.0,-0.000316,-5.447,35.557,-1.778,True,False
AEVOUSDT,2025-01-09 21:00:00+09:00,0.3295,0.3312,0.3157,0.3307,2004968.4,19847665.5,0.0001,-1.047,-34.761,0.558,False,False
AGIUSDT,2025-01-09 21:00:00+09:00,0.13764,0.13861,0.13273,0.13788,10002430.0,69666360.0,0.0001,-0.26,-10.093,-1.195,False,True
AGLDUSDT,2025-01-09 21:00:00+09:00,2.014,2.0771,1.9592,2.0638,5282845.3,6455910.3,-0.002579,-0.827,59.9,2.143,False,True
