symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate,volume_spike_flag
10000000AIDOGEUSDT,2025-01-12 15:40:00+09:00,0.002504,0.002504,0.002504,0.002504,3000.0,157138500.0,0.000187,-0.12,-99.706,0.648,False
1000000BABYDOGEUSDT,2025-01-12 15:40:00+09:00,0.0027731,0.0027735,0.002771,0.0027735,535800.0,2322312600.0,0.0001,-0.295,-82.684,0.121,False
1000000CHEEMSUSDT,2025-01-12 15:40:00+09:00,0.8139,0.8146,0.8139,0.8146,205.0,4171775.0,0.0001,-0.049,-91.653,-0.022,False
1000000MOGUSDT,2025-01-12 15:40:00+09:00,1.882,1.8837,1.882,1.8837,546.0,6464674.0,0.000102,-0.222,-94.868,0.193,False
1000000PEIPEIUSDT,2025-01-12 15:40:00+09:00,0.0841,0.0841,0.0841,0.0841,155.0,18756871.0,0.0001,-0.473,-99.203,0.545,False
10000COQUSDT,2025-01-12 15:40:00+09:00,0.01313,0.01313,0.01313,0.01313,0.0,65169760.0,0.0001,-0.076,-100.0,-0.396,False
10000LADYSUSDT,2025-01-12 15:40:00+09:00,0.0006755,0.0006755,0.0006751,0.0006751,44000.0,5475451700.0,0.0001,-0.266,-93.95,0.013,False
10000QUBICUSDT,2025-01-12 15:40:00+09:00,0.02648,0.02654,0.02648,0.02654,3760.0,40348840.0,0.0001,0.454,-98.522,-0.127,False
10000SATSUSDT,2025-01-12 15:40:00+09:00,0.00147,0.00147,0.00147,0.00147,1033600.0,4172148600.0,0.0001,0.204,-94.429,-0.076,False
10000WENUSDT,2025-01-12 15:40:00+09:00,0.7533,0.7535,0.7533,0.7535,87.0,4826248.0,0.0001,-0.106,-93.636,-0.213,False
10000WHYUSDT,2025-01-12 15:40:00+09:00,0.000948,0.000948,0.000948,0.000948,118500.0,2331241900.0,0.0001,0.0,-90.644,1.034,False
1000APUUSDT,2025-01-12 15:40:00+09:00,0.6893,0.6893,0.6887,0.6888,186.0,4554616.0,0.001203,-0.592,-98.45,0.557,False
1000BONKUSDT,2025-01-12 15:40:00+09:00,0.027741,0.027752,0.027729,0.027752,79100.0,8856022500.0,0.0001,-0.287,-94.169,-0.055,False
1000BTTUSDT,2025-01-12 15:40:00+09:00,0.001154,0.001154,0.001154,0.001154,0.0,3206852600.0,0.0001,-0.173,-100.0,-1.373,False
1000CATSUSDT,2025-01-12 15:40:00+09:00,0.01684,0.01687,0.01684,0.01687,21500.0,36984580.0,0.000436,-0.881,-77.965,3.853,False
1000CATUSDT,2025-01-12 15:40:00+09:00,0.02653,0.02653,0.02651,0.02653,65619.0,241246954.0,0.0001,-0.038,-95.658,0.684,False
1000FLOKIUSDT,2025-01-12 15:40:00+09:00,0.16421,0.16421,0.16412,0.16413,4362.0,166429948.0,0.0001,-0.207,-93.713,-0.016,False
